TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-03-11,METROPOLITANA SUD,20-29,3
2020-03-11,TERRES DE L'EBRE,10-19,1
2020-03-11,TERRES DE L'EBRE,70-79,2
2020-03-11,TERRES DE L'EBRE,40-49,1
2020-03-11,LLEIDA,40-49,2
2020-03-11,METROPOLITANA NORD,80-89,3
2020-03-11,METROPOLITANA NORD,20-29,1
2020-03-11,METROPOLITANA NORD,50-59,11
2020-03-11,LLEIDA,90+,1
2020-03-11,LLEIDA,60-69,2
2020-03-11,LLEIDA,20-29,1
2020-03-11,METROPOLITANA NORD,70-79,6
2020-03-11,METROPOLITANA NORD,60-69,11
2020-03-11,METROPOLITANA NORD,30-39,5
2020-03-11,METROPOLITANA NORD,40-49,14
2020-03-11,METROPOLITANA NORD,90+,1
2020-03-12,CATALUNYA CENTRAL,70-79,3
2020-03-12,CATALUNYA CENTRAL,80-89,1
2020-03-12,CATALUNYA CENTRAL,90+,1
2020-03-12,CAMP DE TARRAGONA,10-19,1
2020-03-12,CATALUNYA CENTRAL,60-69,6
2020-03-12,CATALUNYA CENTRAL,30-39,1
2020-03-12,CATALUNYA CENTRAL,50-59,5
2020-03-12,CATALUNYA CENTRAL,40-49,9
2020-03-12,GIRONA,80-89,1
2020-03-12,CATALUNYA CENTRAL,20-29,2
2020-03-12,GIRONA,70-79,2
2020-03-12,GIRONA,30-39,3
2020-03-12,GIRONA,40-49,4
2020-03-12,GIRONA,60-69,3
2020-03-12,CAMP DE TARRAGONA,50-59,1
2020-03-12,CAMP DE TARRAGONA,80-89,1
2020-03-12,ALT PIRINEU I ARAN,90+,1
2020-03-12,CAMP DE TARRAGONA,40-49,1
2020-03-12,ALT PIRINEU I ARAN,80-89,1
2020-03-12,ALT PIRINEU I ARAN,50-59,1
2020-03-12,BARCELONA CIUTAT,20-29,11
2020-03-12,BARCELONA CIUTAT,50-59,18
2020-03-12,BARCELONA CIUTAT,70-79,10
2020-03-12,BARCELONA CIUTAT,90+,5
2020-03-12,BARCELONA CIUTAT,80-89,11
2020-03-12,CAMP DE TARRAGONA,20-29,2
2020-03-12,BARCELONA CIUTAT,40-49,24
2020-03-12,BARCELONA CIUTAT,30-39,25
2020-03-12,BARCELONA CIUTAT,60-69,17
2020-03-12,GIRONA,90+,1
2020-03-12,GIRONA,50-59,3
2020-03-12,GIRONA,20-29,2
2020-03-12,METROPOLITANA NORD,90+,2
2020-03-12,METROPOLITANA SUD,40-49,14
2020-03-12,METROPOLITANA SUD,60-69,15
2020-03-12,METROPOLITANA SUD,70-79,7
2020-03-12,METROPOLITANA SUD,80-89,1
2020-03-12,METROPOLITANA SUD,30-39,9
2020-03-12,METROPOLITANA SUD,20-29,3
2020-03-12,METROPOLITANA SUD,50-59,12
2020-03-12,TERRES DE L'EBRE,70-79,1
2020-03-12,TERRES DE L'EBRE,60-69,1
2020-03-12,TERRES DE L'EBRE,30-39,1
2020-03-12,TERRES DE L'EBRE,50-59,1
